"index","Att00","Att01","Att02","Att03","Att04","Att05","Att06","Att07","Att08","Att09","Att10","Att11","Att12","Att13","Att14","Att15","Att16","Att17","Att18","Att19","Att20","Att21","Att22","Att23","Att24","Att25","Att26","Att27","Att28","Att29","class"
"0","-31.576673111372177","-9.700300919599806","-24.911617243042077","9.081611989903921","0","208.27207889470282","-1.9978411852268716","1.4549364335054997","-26.60072105737698","-1.4700764684800451","-12.412547409853806","NBAE","-21080","10.57748731844536","4.814844267307272","157.32448006918418","ITRV","44.68090338860192","2.1750702488630647","5.980936659325425","-7.562697265642771","952","11.266067645311189","-3.217047798858868","1.7835401358460308","CDJW","0","-33.2577758512916","-30.18760899186672","-2.0260418945413865","1"
"1","-304.66221412790327","46.60770105079937","42.59814963954086","-56.799268444478734","1","-150.59055516944048","3.867761468677253","-2.494263782482963","11.17410671608681","5.986791257067586","-3.8863014864607885","USGL","-32236","2.116011688348849","7.901584331245454","31.472544345127865","PWEH","45.16521761448755","-13.603576004801257","5.614595174834979","-72.96741127867482","101","8.088682810934477","6.228109426979461","null","CDJW","1","-49.19732787574218","72.86586940298112","-7.405604525764431","0"
"2","-32.93786978533667","-13.10908918221857","-60.39000687800062","-39.58070700102094","1","-154.42115203756683","-3.761358463002818","-0.9808148717686014","-6.6158415266022965","-6.894931192896365","0.48850869575680395","AQDH","4327","-1.6412722712871426","2.151313396030909","-24.4114976419721","YNCP","-37.063372562563316","-9.47968469943379","2.806698027532857","-7.888707492492345","-304","-8.360235129420454","-6.056772707260151","null","ASCZ","0","14.257560050554948","69.97210358034211","-32.16293168618485","2"
"3","-78.47251697728602","12.418401447912284","-76.95878608024975","-17.175312701490395","0","222.14048167588547","3.8704602075279615","7.10652071562229","-8.966389705238056","1.312893757847339","-19.789059976382994","AQDH","-14476","-3.2668426722492048","6.186915340341818","-48.58945318546309","YNCP","-22.926975061054506","-4.113533116528456","-1.9460680679489744","-18.79437670583776","-352","-4.04934814317129","6.232455103674669","null","ASCZ","0","0.4846773253787347","-43.87604431670879","-6.770417951432723","2"
"4","-141.39908634155105","29.659120999582537","-64.72616410259775","-3.18506622611692","1","116.402384159954","-4.44017994522967","4.2390603120492845","6.792400503146776","-5.887968171404784","16.48367479025892","USGL","-15290","4.892281990797288","2.5997136120654543","72.76545907191318","YNCP","58.860421783923044","-0.7628318405132349","-8.75802713864023","-33.86545757584925","923","20.884454266944257","-7.149853163987256","1.6359768684642313","CDJW","0","-38.95175310569651","65.24205888788191","90.45789913893749","1"
"5","-29.802032235506694","-41.29058654838666","-50.572276970996036","-27.239663223705787","0","47.18298560347623","1.0163231205344474","7.667041105130938","-11.58253571039949","-13.636633024112822","-30.483471240044537","NBAE","5941","-10.269074584564896","0.44336201136","-152.73729678607614","XCYU","-20.018239620671704","-6.523971860149755","2.1167683153434975","-7.137666051870847","85","17.87056857094706","1.6365465293345798","-2.1584898787008058","ASCZ","0","16.525250470519765","92.7813307078974","18.81389291844122","2"
"6","-100.41154986696239","27.83738846894512","-50.701930318031025","-15.12662801043096","0","-200.46005029460673","-2.594781434941234","6.60467030305111","-1.076729655311223","-12.396544078643656","9.473253473959254","LCAS","-14189","-2.9345669559486387","0.6532872061327272","null","PWEH","27.060189817971345","-3.622867678963143","-4.958112680174126","-24.048833483485048","579","-15.538966027081445","-4.178278016052421","null","ASCZ","0","-14.201836978547986","94.46789939896536","-2.4556016879980516","2"
"7","103.29261229691173","-125.07055491013516","-19.74027250036147","-17.929082625768892","1","-262.35379027887274","-4.5694911065353105","4.964043380410376","-5.973005130494142","-13.785637500184032","17.75305078817713","QQNT","28514","-13.093802656780925","0.4299267988945454","-194.75094917053787","FBLE","-24.007012154844816","-4.294063020097179","-19.005361720181256","24.738855604696955","64","-21.512932177502762","-7.358078016854604","null","ASCZ","1","16.649180917784182","-164.86790995046746","-44.96077402321035","2"
"8","37.07215433737556","-44.72876081376222","-42.03349063947534","-34.38522477755497","0","118.5566956824716","0.45672138770898535","-0.9383141209321643","-1.861810570243768","-3.5608984005247946","-25.53417071464027","KRNB","19214","-5.491565503827496","3.681248215534545","-81.67891500554495","PWEH","34.33522460134907","-8.235352875378696","-2.5678526032696753","8.87887964795711","210","-10.371724714902697","0.7354411080749185","null","ASCZ","0","26.0141449142794","-106.54561953039227","55.223193505441316","2"
"9","13.121064618040199","44.43251926096304","-101.07471998162467","-28.780377557447363","0","71.04942487358846","1.1057674992985331","8.146185582830265","-15.782143415695112","0.805953142797833","2.0338217965189513","NAAU","-21747","1.0669001782425411","5.889661264543636","15.868562237368637","ITRV","-80.64513003537365","-6.892977044806806","-8.95298894866107","3.142529903615378","177","42.16680853189184","1.7805754160904728","-0.9703951537768855","ASCZ","0","-15.806825081540795","180.41776008392222","-60.096201963602816","2"
